seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_ETMHF80,156.793,0,0.000,0.000,0.000,0.000,0.000,7.768
L1_ETMHF90,54.283,0,0.000,0.000,0.000,0.000,0.000,7.014
L1_ETMHF100,18.900,0,0.000,0.000,0.000,0.000,0.000,5.510
L1_ETMHF110,6.790,0,0.000,0.000,0.000,0.000,0.000,3.992
L1_ETMHF120,3.275,1,3.275,0.305,1.008,0.169,1.287,2.962
L1_ETMHF150,1.010,1,1.010,0.169,0.000,0.000,0.113,1.980
L1_SingleMuOpen_NotBptxOR,0.000,35,0.000,0.000,0.000,0.000,0.000,1.685
L1_SingleMuOpen_NotBptxOR_3BX,0.000,1,0.000,0.000,0.000,0.000,0.000,1.722
L1_SingleJet20er3p0_NotBptxOR,0.000,1000,0.000,0.000,0.000,0.000,0.000,1.560
L1_SingleJet20er3p0_NotBptxOR_3BX,0.000,0,0.000,0.000,0.000,0.000,0.000,1.538
L1_SingleJet43er3p0_NotBptxOR_3BX,0.000,1,0.000,0.000,0.000,0.000,0.000,1.523
L1_SingleJet46er3p0_NotBptxOR_3BX,0.000,1,0.000,0.000,0.000,0.000,0.000,1.530
L1_LooseIsoEG24er2p1_Jet26er3p0_dR_Min0p3,18.641,0,0.000,0.000,0.000,0.000,0.000,1.969
L1_LooseIsoEG26er2p1_Jet34er3p0_dR_Min0p3,12.480,0,0.000,0.000,0.000,0.000,0.000,2.029
L1_LooseIsoEG28er2p1_Jet34er3p0_dR_Min0p3,10.509,0,0.000,0.000,0.000,0.000,0.000,2.059
L1_LooseIsoEG30er2p1_Jet34er3p0_dR_Min0p3,9.656,1,9.656,0.523,0.172,0.070,1.542,2.027
L1_LooseIsoEG24er2p1_HTT100er,12.333,0,0.000,0.000,0.000,0.000,0.000,1.916
L1_LooseIsoEG26er2p1_HTT100er,10.617,0,0.000,0.000,0.000,0.000,0.000,1.891
L1_LooseIsoEG28er2p1_HTT100er,9.524,1,9.524,0.520,0.213,0.078,1.391,1.877
L1_LooseIsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,15.640,0,0.000,0.000,0.000,0.000,0.000,2.858
L1_Mu18_HTT100er,3.337,0,0.000,0.000,0.000,0.000,0.000,2.354
L1_Mu18_Jet24er3p0,15.088,0,0.000,0.000,0.000,0.000,0.000,2.190
L1_Mu20_EG17,0.527,1,0.527,0.122,0.000,0.000,0.087,1.859
L1_Mu23_EG10,1.379,1,1.379,0.198,0.060,0.041,0.361,2.116
L1_Mu23_LooseIsoEG10,0.742,1,0.742,0.145,0.000,0.000,0.137,1.870
L1_Mu5_EG23,2.897,0,0.000,0.000,0.000,0.000,0.000,2.044
L1_Mu5_LooseIsoEG20,1.569,0,0.000,0.000,0.000,0.000,0.000,1.677
L1_Mu7_EG23,1.652,1,1.652,0.216,0.606,0.131,0.778,1.942
L1_Mu7_LooseIsoEG20,1.019,1,1.019,0.170,0.232,0.081,0.374,1.633
L1_Mu7_LooseIsoEG23,0.692,1,0.692,0.140,0.000,0.000,0.104,1.627
