seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_ETMHF80,111.612,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF90,46.581,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF100,20.182,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF110,9.285,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF120,4.639,1,4.639,0.176,0.368,0.050,0.996,1.000
L1_ETMHF150,1.230,1,1.230,0.091,0.000,0.000,0.113,1.000
L1_SingleMuOpen_NotBptxOR,0.000,70,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuOpen_NotBptxOR_3BX,0.000,2,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet20er3p0_NotBptxOR,0.000,1700,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet20er3p0_NotBptxOR_3BX,0.000,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet43er3p0_NotBptxOR_3BX,0.000,1,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet46er3p0_NotBptxOR_3BX,0.000,1,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min300_dEta_Max1p5,2.574,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min320_dEta_Max1p5,1.939,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min340_dEta_Max1p5,1.551,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min360_dEta_Max1p5,1.183,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min380_dEta_Max1p5,0.923,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min400_dEta_Max1p5,0.749,1,0.749,0.071,0.000,0.000,0.033,1.000
L1_LooseIsoEG24er2p1_Jet26er3p0_dR_Min0p3,15.850,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG26er2p1_Jet34er3p0_dR_Min0p3,11.231,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG28er2p1_Jet34er3p0_dR_Min0p3,9.513,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG30er2p1_Jet34er3p0_dR_Min0p3,8.477,1,8.477,0.238,0.140,0.031,1.027,1.000
L1_LooseIsoEG24er2p1_HTT100er,10.663,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG26er2p1_HTT100er,9.573,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG28er2p1_HTT100er,8.597,1,8.597,0.240,0.461,0.056,1.264,1.000
L1_LooseIsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,12.808,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu18_HTT100er,2.005,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu18_Jet24er3p0,10.582,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu20_EG17,0.321,1,0.321,0.046,0.007,0.007,0.054,1.000
L1_Mu23_EG10,1.190,1,1.190,0.089,0.053,0.019,0.338,1.000
L1_Mu23_LooseIsoEG10,0.428,1,0.428,0.053,0.000,0.000,0.091,1.000
L1_Mu5_EG23,2.333,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu5_LooseIsoEG20,1.491,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu7_EG23,1.210,1,1.210,0.090,0.394,0.051,0.552,1.000
L1_Mu7_LooseIsoEG20,0.735,1,0.735,0.070,0.180,0.035,0.279,1.000
L1_Mu7_LooseIsoEG23,0.541,1,0.541,0.060,0.000,0.000,0.097,1.000
L1_HTT250er_QuadJet_70_55_40_35_er2p5,13.350,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT280er_QuadJet_70_55_40_35_er2p5,9.760,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT300er_QuadJet_70_55_40_35_er2p5,7.527,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT320er_QuadJet_70_55_40_40_er2p4,3.871,1,3.871,0.161,0.000,0.000,0.513,1.000
L1_HTT320er_QuadJet_70_55_40_40_er2p5,4.806,1,4.806,0.179,0.000,0.000,0.702,1.000
L1_HTT340er_QuadJet_70_55_40_40_er2p5,3.703,1,3.703,0.157,0.000,0.000,0.434,1.000
L1_DoubleJet100er2p3_dEta_Max1p6,4.539,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet112er2p3_dEta_Max1p6,2.801,1,2.801,0.137,0.127,0.029,0.482,1.000
L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,3.129,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.350,1,1.350,0.095,0.461,0.056,0.641,1.000
L1_IsoTau40er_ETM80,5.508,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_IsoTau40er_ETM85,4.339,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_IsoTau40er_ETM90,3.376,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_IsoTau40er_ETM95,2.687,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_IsoTau40er_ETM100,2.199,1,2.199,0.121,0.074,0.022,0.311,1.000
L1_IsoTau40er_ETM105,1.858,1,1.858,0.111,0.000,0.000,0.169,1.000
L1_IsoTau40er_ETM110,1.538,1,1.538,0.101,0.000,0.000,0.083,1.000
L1_IsoTau40er_ETM115,1.284,1,1.284,0.093,0.000,0.000,0.054,1.000
L1_IsoTau40er_ETM120,1.103,1,1.103,0.086,0.000,0.000,0.041,1.000
L1_IsoTau40er_ETMHF80,4.278,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_IsoTau40er_ETMHF90,2.467,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_IsoTau40er_ETMHF100,1.578,1,1.578,0.103,0.074,0.022,0.177,1.000
L1_IsoTau40er_ETMHF110,1.156,1,1.156,0.088,0.000,0.000,0.047,1.000
L1_IsoTau40er_ETMHF120,0.889,1,0.889,0.077,0.000,0.000,0.026,1.000
L1_Mu22er2p1_IsoTau40er2p1,0.334,1,0.334,0.047,0.000,0.000,0.021,1.000
L1_QuadJet36er3p0_IsoTau52er2p1,10.703,190,0.053,0.019,0.027,0.013,0.034,1.000
L1_ETM80_Jet60_dPhi_Min0p4,51.615,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM90_Jet60_dPhi_Min0p4,26.058,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM100_Jet60_dPhi_Min0p4,13.470,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM110_Jet60_dPhi_Min0p4,7.013,1,7.013,0.217,0.000,0.000,1.324,1.000
L1_DoubleJet60er3p0_ETM70,31.994,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet60er3p0_ETM80,19.186,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet60er3p0_ETM90,11.030,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet60er3p0_ETM100,6.337,1,6.337,0.206,2.012,0.116,2.880,1.000
L1_DoubleEG_LooseIso23_10,6.685,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_LooseIso24_10,5.996,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleEG_LooseIso20_10_5,7.333,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,53.186,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,28.017,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,23.685,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,13.831,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_110_40_DoubleJet40_Mass_Min620,11.445,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_115_35_DoubleJet35_Mass_Min620,11.010,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,9.158,1,9.158,0.247,4.078,0.165,4.989,1.000
L1_DoubleJet30_Mass_Min400_Mu6,60.900,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet30_Mass_Min400_Mu10,14.292,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG18er2p1_IsoTau24er2p1_dR_Min0p3,4.833,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet35_rmovlp_IsoTau45_Mass_Min450,15.743,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG20er2p1_IsoTau25er2p1_dR_Min0p3,3.115,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,2.520,1,2.520,0.130,0.241,0.040,0.506,1.000
L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,2.186,1,2.186,0.121,0.000,0.000,0.252,1.000
L1_Mu16er2p1_Tau20er2p1,6.458,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu16er2p1_Tau24er2p1,2.574,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu18er2p1_Tau20er2p1,4.793,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu18er2p1_Tau24er2p1,1.979,1,1.979,0.115,0.261,0.042,0.654,1.000
L1_Mu22er2p1_Tau50er2p1,0.287,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu22er2p1_Tau70er2p1,0.160,1,0.160,0.033,0.000,0.000,0.008,1.000
L1_Mu18er2p1_IsoTau26er2p1,0.989,1,0.989,0.081,0.000,0.000,0.164,1.000
L1_Mu20er2p1_IsoTau26er2p1,0.829,1,0.829,0.074,0.000,0.000,0.097,1.000
L1_Mu20er2p1_IsoTau27er2p1,0.769,1,0.769,0.072,0.000,0.000,0.086,1.000
L1_Mu22er2p1_IsoTau28er2p1,0.602,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu22er2p1_IsoTau30er2p1,0.541,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu22er2p1_IsoTau32er2p1,0.455,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu22er2p1_IsoTau33er2p1,0.448,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_Mu22er2p1_IsoTau34er2p1,0.428,1,0.428,0.053,0.000,0.000,0.030,1.000
L1_Mu22er2p1_IsoTau35er2p1,0.414,1,0.414,0.053,0.000,0.000,0.029,1.000
L1_Mu22er2p1_IsoTau36er2p1,0.394,1,0.394,0.051,0.000,0.000,0.027,1.000
