id,name,proposed name,2,1.8,1.6,1.4,1.2,1,0.75,0.5,0.25,xml,POG,PAG,comment
103,L1_DoubleEG_22_10,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
104,L1_DoubleEG_22_12,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
105,L1_DoubleEG_22_15,,0,0,1,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
106,L1_DoubleEG_23_10,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
107,L1_DoubleEG_24_17,,0,1,1,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
108,L1_DoubleEG_25_12,,0,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
109,L1_DoubleEG_25_13,,0,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
110,L1_DoubleEG_25_14,,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
111,L1_DoubleLooseIsoEG22er2p1,L1_DoubleIsoEG22er2p1,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-116
112,L1_DoubleLooseIsoEG24er2p1,L1_DoubleIsoEG24er2p1,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-150
113,L1_TripleEG_14_10_8,,0,0,0,0,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
114,L1_TripleEG_18_17_8,,1,1,1,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
