seed,rate,error,chi2
L1_Mu18er2p1_IsoTau26er2p1,1.2,0.2,280.993
L1_Mu20er2p1_IsoTau26er2p1,1.0,0.1,658.972
L1_Mu6_HTT240er,1.9,0.0,618.714
L1_Mu6_HTT250er,1.7,0.2,458.346
L1_Mu15_HTT100er,3.4,0.3,455.088
L1_DoubleMu0_ETMHF40_Jet60_OR_DoubleJet30,87.4,0.4,3151.22
L1_DoubleMu0_ETMHF50_Jet60_OR_DoubleJet30,58.0,0.2,4513.7
L1_DoubleMu0_ETMHF60_Jet60_OR_DoubleJet30,35.3,0.1,6770.96
L1_DoubleMu0_ETMHF70_Jet60_OR_DoubleJet30,19.7,0.1,7356.84
L1_DoubleMu0_ETMHF80_Jet60_OR_DoubleJet30,10.3,0.0,6530.02
L1_DoubleMu3_SQ_ETMHF40_Jet60_OR_DoubleJet30,15.3,0.1,3210.38
L1_DoubleMu3_SQ_ETMHF50_Jet60_OR_DoubleJet30,10.4,0.1,4708.84
L1_DoubleMu3_SQ_ETMHF60_Jet60_OR_DoubleJet30,6.3,0.0,6293.43
L1_DoubleMu3_SQ_ETMHF70_Jet60_OR_DoubleJet30,3.6,0.0,5531.88
L1_DoubleMu3_SQ_ETMHF80_Jet60_OR_DoubleJet30,1.8,0.0,5282.14
L1_DoubleMu3_SQ_HTT100er,5.5,0.3,681.21
L1_DoubleMu3_SQ_HTT200er,0.8,0.1,256.76
L1_DoubleMu3_SQ_HTT220er,0.6,0.1,213.225
L1_DoubleMu3_SQ_HTT240er,0.4,0.0,177.152
L1_DoubleMu_15_7_SQ,0.7,0.1,137.571
L1_DoubleMu_15_7_SQ_Mass_Min4,0.5,0.1,147.314
L1_TripleMu3_SQ,2.4,0.3,424.058
L1_DoubleEG6_HTT240er,11.6,0.5,1916.48
L1_DoubleEG6_HTT250er,9.8,0.4,1791.0
L1_DoubleEG6_HTT270er,7.3,0.3,1980.29
L1_DoubleEG6_HTT300er,4.6,0.3,894.031
L1_ETMHF70_Jet60_OR_DoubleJet30,902.9,2.2,11772.0
L1_ETMHF75_Jet60_OR_DoubleJet30,647.1,1.5,12397.2
L1_ETMHF80_Jet60_OR_DoubleJet30,454.8,0.9,12908.0
L1_ETMHF85_Jet60_OR_DoubleJet30,313.7,0.6,12995.1
L1_ETMHF90_Jet60_OR_DoubleJet30,212.4,0.4,13119.0
L1_ETMHF95_Jet60_OR_DoubleJet30,141.5,0.3,13333.3
L1_ETMHF100_Jet60_OR_DoubleJet30,93.3,0.2,13010.6
L1_ETMHF105_Jet60_OR_DoubleJet30,60.8,0.1,13117.3
L1_ETMHF110_Jet60_OR_DoubleJet30,39.2,0.1,12388.1
L1_ETMHF115_Jet60_OR_DoubleJet30,25.5,0.1,12013.2
L1_ETMHF120_Jet60_OR_DoubleJet30,16.7,0.1,11603.8
L1_ETMHF70_Jet60_OR_DiJet30woTT28,515.1,1.7,14118.1
L1_ETMHF80_Jet60_OR_DiJet30woTT28,270.1,0.7,14450.2
L1_ETMHF90_Jet60_OR_DiJet30woTT28,131.4,0.3,14263.8
L1_ETMHF100_Jet60_OR_DiJet30woTT28,60.4,0.2,14258.8
L1_ETMHF110_Jet60_OR_DiJet30woTT28,26.7,0.1,13417.5
L1_ETMHF120_Jet60_OR_DiJet30woTT28,11.9,0.1,13681.0
L1_ETMHF70_Jet90_OR_DoubleJet45_OR_TripleJet30,536.0,1.0,8455.79
L1_ETMHF80_Jet90_OR_DoubleJet45_OR_TripleJet30,283.0,0.5,9792.1
L1_ETMHF90_Jet90_OR_DoubleJet45_OR_TripleJet30,139.4,0.2,10892.9
L1_ETMHF100_Jet90_OR_DoubleJet45_OR_TripleJet30,65.2,0.1,11901.2
L1_ETMHF110_Jet90_OR_DoubleJet45_OR_TripleJet30,29.5,0.1,11618.7
L1_DoubleMu7_SQ_EG7,0.9,0.1,169.963
L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,4.8,0.5,459.12
L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,2.5,0.3,280.189
